query_gene	transcript	symbols	description	length_aa	declared_length	location
At3g02170	AT3G02170.1	TRM1,LNG2	LONGIFOLIA2,TON1 Recruiting Motif 1	905	905	Chr3:396208-399393 REVERSE LENGTH=905
At3g02170	AT3G02170.2	TRM1,LNG2	LONGIFOLIA2,TON1 Recruiting Motif 1	677	677	Chr3:397042-399393 REVERSE LENGTH=677
At3g02170	AT3G02170.3	TRM1,LNG2	LONGIFOLIA2,TON1 Recruiting Motif 1	634	634	Chr3:397263-399393 REVERSE LENGTH=634
At5g15580	AT5G15580.1	TRM2,LNG1	LONGIFOLIA1,TON1 Recruiting Motif 2	927	927	Chr5:5068495-5071930 REVERSE LENGTH=927
At1g18620	AT1G18620.1	TRM3	TON1 Recruiting Motif 3	978	978	Chr1:6410719-6414269 FORWARD LENGTH=978
At1g18620	AT1G18620.2	TRM3	TON1 Recruiting Motif 3	1014	1014	Chr1:6410191-6414269 FORWARD LENGTH=1014
At1g18620	AT1G18620.3	TRM3	TON1 Recruiting Motif 3	978	978	Chr1:6410719-6414269 FORWARD LENGTH=978
At1g18620	AT1G18620.4	TRM3	TON1 Recruiting Motif 3	978	978	Chr1:6410719-6414269 FORWARD LENGTH=978
At1g18620	AT1G18620.5	TRM3	TON1 Recruiting Motif 3	840	840	Chr1:6411538-6414269 FORWARD LENGTH=840
At1g74160	AT1G74160.1	TRM4	TON1 Recruiting Motif 4	1025	1025	Chr1:27887164-27891151 FORWARD LENGTH=1025
At1g74160	AT1G74160.2	TRM4	TON1 Recruiting Motif 4	893	893	Chr1:27888145-27891151 FORWARD LENGTH=893
At1g74160	AT1G74160.3	TRM4	TON1 Recruiting Motif 4	893	893	Chr1:27888145-27891151 FORWARD LENGTH=893
At3g63430	AT3G63430.1	TRM5	TON1 Recruiting Motif 5	540	540	Chr3:23420414-23422201 FORWARD LENGTH=540
At3g63430	AT3G63430.2	TRM5	TON1 Recruiting Motif 5	508	508	Chr3:23420605-23422201 FORWARD LENGTH=508
At3g05750	AT3G05750.1	TRM6	TON1 Recruiting Motif 6	801	801	Chr3:1704677-1707546 FORWARD LENGTH=801
At3g05750	AT3G05750.2	TRM6	TON1 Recruiting Motif 6	698	698	Chr3:1705300-1707546 FORWARD LENGTH=698
At3g05750	AT3G05750.3	TRM6	TON1 Recruiting Motif 6	698	698	Chr3:1705300-1707546 FORWARD LENGTH=698
At3g05750	AT3G05750.4	TRM6	TON1 Recruiting Motif 6	793	793	Chr3:1704945-1707546 FORWARD LENGTH=793
At3g58650	AT3G58650.1	TRM7	TON1 Recruiting Motif 7	820	820	Chr3:21696349-21699219 REVERSE LENGTH=820
At5g26910	AT5G26910.1	TRM8	TON1 Recruiting Motif 8	853	853	Chr5:9466169-9469523 REVERSE LENGTH=853
At5g26910	AT5G26910.2	TRM8	TON1 Recruiting Motif 8	638	638	Chr5:9466804-9469523 REVERSE LENGTH=638
At5g26910	AT5G26910.3	TRM8	TON1 Recruiting Motif 8	852	852	Chr5:9466169-9469523 REVERSE LENGTH=852
At5g26910	AT5G26910.4	TRM8	TON1 Recruiting Motif 8	853	853	Chr5:9466169-9469523 REVERSE LENGTH=853
At4g00770	AT4G00770.1	TRM9	TON1 Recruiting Motif 9	440	440	Chr4:331195-333050 FORWARD LENGTH=440
At4g11780	AT4G11780.1	TRM10	TON1 Recruiting Motif 10	473	473	Chr4:7085970-7088212 FORWARD LENGTH=473
At4g23020	AT4G23020.1	TRM11	TON1 Recruiting Motif 11	425	425	Chr4:12066331-12068442 REVERSE LENGTH=425
At4g23020	AT4G23020.2	TRM11	TON1 Recruiting Motif 11	452	452	Chr4:12066331-12068442 REVERSE LENGTH=452
At2g36420	AT2G36420.1	TRM27	TON1 Recruiting Motif 27	439	439	Chr2:15286498-15288990 FORWARD LENGTH=439
At5g03670	AT5G03670.1	TRM28	TON1 Recruiting Motif 28	516	516	Chr5:947311-949898 FORWARD LENGTH=516
At5g03670	AT5G03670.2	TRM28	TON1 Recruiting Motif 28	423	423	Chr5:947311-949138 FORWARD LENGTH=423
At2g45900	AT2G45900.1	TRM13	TON1 Recruiting Motif 13	720	720	Chr2:18886069-18888674 REVERSE LENGTH=720
