gene	representative_transcript	gene_id	symbols	description	length_aa	isoform_count	selected_is_longest	note
At3g02170	AT3G02170.1	AT3G02170	TRM1,LNG2	LONGIFOLIA2,TON1 Recruiting Motif 1	905	3	yes	
At5g15580	AT5G15580.1	AT5G15580	TRM2,LNG1	LONGIFOLIA1,TON1 Recruiting Motif 2	927	1	yes	
At1g18620	AT1G18620.2	AT1G18620	TRM3	TON1 Recruiting Motif 3	1014	5	yes	
At1g74160	AT1G74160.1	AT1G74160	TRM4	TON1 Recruiting Motif 4	1025	3	yes	
At3g63430	AT3G63430.1	AT3G63430	TRM5	TON1 Recruiting Motif 5	540	2	yes	
At3g05750	AT3G05750.1	AT3G05750	TRM6	TON1 Recruiting Motif 6	801	4	yes	
At3g58650	AT3G58650.1	AT3G58650	TRM7	TON1 Recruiting Motif 7	820	1	yes	
At5g26910	AT5G26910.1	AT5G26910	TRM8	TON1 Recruiting Motif 8	853	4	yes	并列最长 2 条且序列完全相同，取编号最小 AT5G26910.1
At4g00770	AT4G00770.1	AT4G00770	TRM9	TON1 Recruiting Motif 9	440	1	yes	
At4g11780	AT4G11780.1	AT4G11780	TRM10	TON1 Recruiting Motif 10	473	1	yes	
At4g23020	AT4G23020.2	AT4G23020	TRM11	TON1 Recruiting Motif 11	452	2	yes	
At2g36420	AT2G36420.1	AT2G36420	TRM27	TON1 Recruiting Motif 27	439	1	yes	
At5g03670	AT5G03670.1	AT5G03670	TRM28	TON1 Recruiting Motif 28	516	2	yes	
At2g45900	AT2G45900.1	AT2G45900	TRM13	TON1 Recruiting Motif 13	720	3	yes	并列最长 3 条且序列完全相同，取编号最小 AT2G45900.1
At3g61380	AT3G61380.1	AT3G61380	TRM14	TON1 Recruiting Motif 14	718	3	yes	并列最长 3 条且序列完全相同，取编号最小 AT3G61380.1
At4g00440	AT4G00440.2	AT4G00440	TRM15	TON1 Recruiting Motif 15	835	5	yes	
At1g01695	AT1G01695.1	AT1G01695	TRM33	TON1 Recruiting Motif 33	433	1	yes	
At2g20240	AT2G20240.1	AT2G20240	TRM17	TON1 Recruiting Motif 17	713	1	yes	
At3g53540	AT3G53540.2	AT3G53540	TRM19	TON1 Recruiting Motif 19	955	2	yes	
At4g28760	AT4G28760.1	AT4G28760	TRM20	TON1 Recruiting Motif 20	924	2	yes	并列最长 2 条且序列完全相同，取编号最小 AT4G28760.1
At5g43880	AT5G43880.1	AT5G43880	TRM21	TON1 Recruiting Motif 21	836	4	yes	并列最长 4 条且序列完全相同，取编号最小 AT5G43880.1
At2g17550	AT2G17550.1	AT2G17550	TRM26	TON1 Recruiting Motif 26	779	2	yes	
At4g25430	AT4G25430.1	AT4G25430	TRM23	TON1 Recruiting Motif 23	459	1	yes	
At5g51850	AT5G51850.1	AT5G51850	TRM24	TON1 Recruiting Motif 24	590	2	yes	
At5g62170	AT5G62170.1	AT5G62170	TRM25	TON1 Recruiting Motif 25	703	4	yes	
At5g01370	AT5G01370.1	AT5G01370	TRM29,ACI1	ALC-interacting protein 1,TON1 Recruiting Motif 29	427	1	yes	
At5g58630	AT5G58630.1	AT5G58630	TRM31	TON1 Recruiting Motif 31	372	1	yes	
At5g02390	AT5G02390.1	AT5G02390	DAU1,TRM16	DUO1-activated unknown 1,TON1 Recruiting Motif 16	835	3	yes	并列最长 2 条且序列完全相同，取编号最小 AT5G02390.1
At1g07620	AT1G07620.2	AT1G07620	ATOBGM,TRM32	TON1 Recruiting Motif 32	578	4	yes	
At1g63670	AT1G63670.1	AT1G63670	TRM12	TON1 Recruiting Motif 12	689	5	yes	并列最长 4 条且序列完全相同，取编号最小 AT1G63670.1
At2g39435	AT2G39435.1	AT2G39435	TRM18	TON1 Recruiting Motif 18	464	6	yes	[并列-序列不同] 并列最长 6 条: AT2G39435.1, AT2G39435.2, AT2G39435.3, AT2G39435.4, AT2G39435.5, AT2G39435.6，取编号最小 AT2G39435.1
At1g67040	AT1G67040.2	AT1G67040	TRM22	TON1 Recruiting Motif 22	828	2	yes	
At5g42710	AT5G42710.1	AT5G42710	TRM30	TON1 Recruiting Motif 30	807	3	yes	
At3g24630	AT3G24630.1	AT3G24630	TRM34	TON1 Recruiting Motif 34	724	2	yes	并列最长 2 条且序列完全相同，取编号最小 AT3G24630.1
